"Season","Name","Team","G","PA","HR","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","Age","BB","SO","playerid"
"2002","Barry Bonds","Giants","143","612","46","117","9","32.4 %","7.7 %",".429",".330",".370",".582",".799",".544","244","12.7","37","198","47","1109"
"2004","Barry Bonds","Giants","147","617","45","129","6","37.6 %","6.6 %",".450",".310",".362",".609",".812",".537","233","11.9","39","232","41","1109"
"2001","Barry Bonds","Giants","153","664","73","129","13","26.7 %","14.0 %",".536",".266",".328",".515",".863",".537","235","12.5","36","177","93","1109"
"2003","Barry Bonds","Giants","130","550","45","111","7","26.9 %","10.5 %",".408",".304",".341",".529",".749",".503","212","10.2","38","148","58","1109"
"1994","Frank Thomas","White Sox","113","517","38","106","2","21.1 %","11.8 %",".376",".336",".353",".487",".729",".499","205","7.0","26","109","61","255"
"1998","Mark McGwire","Cardinals","155","681","70","130","1","23.8 %","22.8 %",".454",".285",".299",".470",".752",".492","205","8.5","34","162","155","1008559"
"1996","Mark McGwire","Athletics","130","548","52","104","0","21.2 %","20.4 %",".418",".308",".312",".467",".730",".489","190","7.3","32","116","112","1008559"
"1997","Larry Walker","Rockies","153","664","49","143","33","11.7 %","13.6 %",".354",".367",".366",".452",".720",".488","177","9.1","30","78","90","455"
"1999","Larry Walker","Rockies","127","513","37","108","11","11.1 %","10.1 %",".331",".363",".379",".458",".710",".485","167","4.7","32","57","52","455"
"1980","George Brett","Royals","117","515","24","87","15","11.3 %","4.3 %",".274",".368",".390",".454",".664",".478","198","9.1","27","58","22","1001400"
"2000","Manny Ramirez","Indians","118","532","38","92","1","16.2 %","22.0 %",".346",".403",".351",".457",".697",".477","181","4.8","28","86","117","210"
"2000","Todd Helton","Rockies","160","697","42","138","5","14.8 %","8.8 %",".326",".357",".372",".463",".698",".476","162","8.3","26","103","61","432"
"2000","Carlos Delgado","Blue Jays","162","711","41","115","0","17.3 %","14.6 %",".320",".362",".344",".470",".664",".471","179","7.4","28","123","104","1297"
"2000","Jason Giambi","Athletics","152","664","43","108","2","20.6 %","14.5 %",".314",".335",".333",".476",".647",".471","183","7.7","29","137","96","818"
"1995","Edgar Martinez","Mariners","145","639","29","121","4","18.2 %","13.6 %",".272",".383",".356",".479",".628",".469","182","7.0","32","116","87","1086"
"1993","Barry Bonds","Giants","159","674","46","129","29","18.7 %","11.7 %",".341",".321",".336",".458",".677",".467","193","10.5","28","126","79","1109"
"1969","Willie McCovey","Giants","149","623","45","101","0","19.4 %","10.6 %",".336",".289",".320",".453",".656",".466","194","7.9","31","121","66","1008423"
"1971","Hank Aaron","Braves","139","573","47","95","1","12.4 %","10.1 %",".341",".291",".327",".410",".669",".466","191","7.1","37","71","58","1000001"
"2001","Jason Giambi","Athletics","154","671","38","109","2","19.2 %","12.4 %",".317",".343",".342",".477",".660",".465","193","9.2","30","129","83","818"
"2001","Sammy Sosa","Cubs","160","711","64","146","0","16.3 %","21.5 %",".409",".336",".328",".437",".737",".465","186","9.9","32","116","153","302"
"2015","Bryce Harper","Nationals","153","654","42","118","6","19.0 %","20.0 %",".319",".369",".330",".460",".649",".461","197","9.3","22","124","131","11579"
"2003","Albert Pujols","Cardinals","157","685","43","137","5","11.5 %","9.5 %",".308",".346",".359",".439",".667",".461","184","9.5","23","79","65","1177"
"2001","Larry Walker","Rockies","142","601","38","107","14","13.6 %","17.1 %",".312",".374",".350",".449",".662",".461","163","7.6","34","82","103","455"
"2002","Jim Thome","Indians","147","613","52","101","1","19.9 %","22.7 %",".373",".319",".304",".445",".677",".461","189","7.3","31","122","139","409"
"2002","Manny Ramirez","Red Sox","120","518","33","84","0","14.1 %","16.4 %",".298",".373",".349",".450",".647",".459","185","5.3","30","73","85","210"
"1999","Manny Ramirez","Indians","147","640","44","131","2","15.0 %","20.5 %",".330",".365",".333",".442",".663",".459","172","7.5","27","96","131","210"
"2008","Albert Pujols","Cardinals","148","641","37","100","7","16.2 %","8.4 %",".296",".340",".357",".462",".653",".459","184","8.7","28","104","54","1177"
"1992","Barry Bonds","Pirates","140","612","34","109","39","20.8 %","11.3 %",".313",".300",".311",".456",".624",".459","198","9.6","27","127","69","1109"
"1998","Larry Walker","Rockies","130","524","23","113","14","12.2 %","11.6 %",".267",".382",".363",".445",".630",".459","159","5.0","31","64","61","455"
"2001","Todd Helton","Rockies","159","697","49","132","7","14.1 %","14.9 %",".349",".337",".336",".432",".685",".457","160","7.1","27","98","104","432"
"1996","Gary Sheffield","Marlins","161","677","42","118","16","21.0 %","9.7 %",".310",".290",".314",".465",".624",".456","185","6.5","27","142","66","114"
"1979","Fred Lynn","Red Sox","147","622","39","116","2","13.2 %","12.7 %",".303",".330",".333",".423",".637",".456","174","8.6","27","82","79","1007872"
"2000","Barry Bonds","Giants","143","607","49","129","11","19.3 %","12.7 %",".381",".271",".306",".440",".688",".456","174","7.6","35","117","77","1109"
"1995","Albert Belle","Indians","143","631","50","121","5","11.6 %","12.7 %",".374",".293",".317",".401",".690",".456","173","7.2","28","73","80","1000802"
"1970","Rico Carty","Braves","136","560","25","84","1","13.8 %","8.2 %",".218",".366",".366",".454",".584",".455","173","6.7","30","77","46","1002025"
"2013","Miguel Cabrera","Tigers","148","652","44","103","3","13.8 %","14.4 %",".288",".356",".348",".442",".636",".455","193","8.6","30","90","94","1744"
"1970","Carl Yastrzemski","Red Sox","161","697","40","125","23","18.4 %","9.5 %",".263",".316",".329",".452",".592",".455","179","8.9","30","128","66","1014326"
"1997","Frank Thomas","White Sox","146","649","35","110","1","16.8 %","10.6 %",".264",".344",".347",".456",".611",".454","179","7.2","29","109","69","255"
"1993","John Olerud","Blue Jays","158","679","24","109","0","16.8 %","9.6 %",".236",".375",".363",".473",".599",".454","179","8.1","24","114","65","1093"
"2004","Todd Helton","Rockies","154","683","32","115","3","18.6 %","10.5 %",".272",".352",".347",".469",".620",".454","166","7.0","30","127","72","432"
"1976","Joe Morgan","Reds","141","599","27","113","60","19.0 %","6.8 %",".256",".298",".320",".444",".576",".454","184","9.5","32","114","41","1009179"
"2001","Luis Gonzalez","Diamondbacks","162","728","57","128","1","13.7 %","11.4 %",".363",".297",".325",".429",".688",".454","173","8.9","33","100","83","55"
"1999","Mark McGwire","Cardinals","153","661","65","118","0","20.1 %","21.3 %",".418",".250",".278",".424",".697",".453","168","6.0","35","133","141","1008559"
"2003","Todd Helton","Rockies","160","703","33","135","0","15.8 %","10.2 %",".271",".363",".358",".458",".630",".453","163","6.6","29","111","72","432"
"1997","Mike Piazza","Dodgers","152","633","40","104","5","10.9 %","12.2 %",".277",".363",".362",".431",".638",".452","183","9.1","28","69","77","893"
"1996","Frank Thomas","White Sox","141","649","40","110","1","16.8 %","10.8 %",".277",".339",".349",".459",".626",".451","168","6.1","28","109","70","255"
"2000","Gary Sheffield","Dodgers","141","612","43","105","4","16.5 %","11.6 %",".317",".305",".325",".438",".643",".451","173","6.6","31","101","71","114"
"1972","Dick Allen","White Sox","148","609","37","90","19","16.3 %","20.7 %",".294",".344",".308",".420",".603",".450","199","8.0","30","99","126","1000137"
"1996","Edgar Martinez","Mariners","139","634","26","121","3","19.4 %","13.2 %",".269",".349",".327",".464",".595",".450","163","5.9","33","123","84","1086"
"2006","Travis Hafner","Indians","129","564","42","100","0","17.7 %","19.7 %",".350",".323",".308",".439",".659",".450","176","6.0","29","100","111","1573"
"1996","Jim Thome","Indians","151","636","38","122","2","19.3 %","22.2 %",".301",".363",".311",".450",".612",".450","163","7.4","25","123","141","409"
"2007","David Ortiz","Red Sox","149","667","35","116","3","16.6 %","15.4 %",".290",".355",".332",".445",".621",".449","175","6.3","31","111","103","745"
"1990","Rickey Henderson","Athletics","136","594","28","119","65","16.3 %","10.1 %",".252",".325",".325",".439",".577",".447","190","10.2","31","97","60","194"
"2009","Albert Pujols","Cardinals","160","700","47","124","16","16.4 %","9.1 %",".331",".299",".327",".443",".658",".447","180","8.4","29","115","64","1177"
"2006","Albert Pujols","Cardinals","143","634","49","119","7","14.5 %","7.9 %",".340",".292",".331",".431",".671",".447","174","8.1","26","92","50","1177"
"1999","Chipper Jones","Braves","157","701","45","116","25","18.0 %","13.4 %",".314",".313",".319",".441",".633",".447","165","7.3","27","126","94","97"
"1996","Barry Bonds","Giants","158","675","42","122","40","22.4 %","11.3 %",".308",".289",".308",".461",".615",".446","179","9.2","31","151","76","1109"
"2008","Chipper Jones","Braves","128","534","22","82","4","16.9 %","11.4 %",".210",".383",".364",".470",".574",".445","174","7.1","36","90","61","97"
"2010","Josh Hamilton","Rangers","133","571","32","95","8","7.5 %","16.6 %",".274",".390",".359",".411",".633",".445","175","8.4","29","43","95","1875"
"1971","Willie Stargell","Pirates","141","606","48","104","0","13.7 %","25.4 %",".333",".328",".295",".398",".628",".445","186","8.2","31","83","154","1012426"
"1987","Jack Clark","Cardinals","131","559","35","93","1","24.3 %","24.9 %",".310",".343",".286",".459",".597",".445","176","5.7","31","136","139","1002288"
"2007","Alex Rodriguez","Yankees","158","708","54","143","24","13.4 %","16.9 %",".331",".309",".314",".422",".645",".445","175","9.6","31","95","120","1274"
"2002","Brian Giles","Pirates","153","644","38","95","15","21.0 %","11.5 %",".324",".282",".298",".450",".622",".444","174","6.9","31","135","74","990"
"2005","Derrek Lee","Cubs","158","691","46","120","15","12.3 %","15.8 %",".327",".343",".335",".418",".662",".444","170","7.0","29","85","109","525"
"1973","Willie Stargell","Pirates","148","609","44","106","0","13.1 %","21.2 %",".347",".317",".299",".392",".646",".443","181","7.7","33","80","129","1012426"
"1987","Wade Boggs","Red Sox","147","667","24","108","1","15.7 %","7.2 %",".225",".361",".363",".461",".588",".443","171","8.9","29","105","48","1001124"
"1975","Joe Morgan","Reds","146","639","17","107","67","20.7 %","8.1 %",".181",".336",".327",".466",".508",".443","176","11.0","31","132","52","1009179"
"1970","Willie McCovey","Giants","152","638","39","98","0","21.5 %","11.8 %",".323",".271",".289",".444",".612",".443","169","6.8","32","137","75","1008423"
"1996","Alex Rodriguez","Mariners","146","677","36","141","15","8.7 %","15.4 %",".273",".382",".358",".414",".631",".443","159","9.2","20","59","104","1274"
"1996","Ellis Burks","Rockies","156","685","40","142","32","8.9 %","16.6 %",".295",".371",".344",".408",".639",".443","151","7.2","31","61","114","372"
"2011","Jose Bautista","Blue Jays","149","655","43","105","9","20.2 %","16.9 %",".306",".309",".302",".447",".608",".443","181","8.1","30","132","111","1887"
"1969","Reggie Jackson","Athletics","152","677","47","123","13","16.8 %","21.0 %",".333",".288",".275",".410",".608",".442","179","8.9","23","114","142","1006308"
"1999","Jeff Bagwell","Astros","162","729","42","143","30","20.4 %","17.4 %",".286",".323",".304",".454",".591",".442","166","7.8","31","149","127","547"
"1991","Frank Thomas","White Sox","158","701","32","104","1","19.7 %","16.0 %",".234",".350",".318",".453",".553",".442","179","7.3","23","138","112","255"
"2004","Albert Pujols","Cardinals","154","692","46","133","5","12.1 %","7.5 %",".326",".298",".331",".415",".657",".442","171","7.8","24","84","52","1177"
"1995","Frank Thomas","White Sox","145","647","40","102","3","21.0 %","11.4 %",".298",".286",".308",".454",".606",".441","168","5.4","27","136","74","255"
"1969","Harmon Killebrew","Twins","162","709","49","106","8","20.5 %","11.8 %",".308",".244",".276",".427",".584",".441","173","7.1","33","145","84","1006905"
"2000","Frank Thomas","White Sox","159","707","43","115","1","15.8 %","13.3 %",".297",".327",".328",".436",".625",".441","160","5.9","32","112","94","255"
"1972","Billy Williams","Cubs","150","650","37","95","3","9.5 %","9.1 %",".274",".317",".333",".398",".606",".441","170","6.5","34","62","59","1013975"
"1995","Tim Salmon","Angels","143","638","34","111","5","14.3 %","17.4 %",".264",".361",".330",".429",".594",".441","163","5.8","26","91","111","32"
"1977","Rod Carew","Twins","155","694","14","128","23","9.9 %","7.9 %",".182",".408",".388",".449",".570",".440","175","8.6","31","69","55","1001942"
"2002","Jason Giambi","Yankees","155","689","41","120","2","15.8 %","16.3 %",".284",".328",".314",".435",".598",".440","175","6.6","31","109","112","818"
"2001","Lance Berkman","Astros","156","688","34","110","7","13.4 %","17.6 %",".289",".367",".331",".430",".620",".440","164","6.8","25","92","121","548"
"2000","Vladimir Guerrero","Expos","154","641","44","101","9","9.0 %","11.5 %",".319",".335",".345",".410",".664",".439","160","6.2","25","58","74","778"
"2009","Joe Mauer","Twins","138","606","28","94","4","12.5 %","10.4 %",".222",".373",".365",".444",".587",".438","170","7.6","26","76","63","1857"
"2007","Magglio Ordonez","Tigers","157","679","28","117","4","11.2 %","11.6 %",".232",".381",".363",".434",".595",".438","169","8.0","33","76","79","248"
"2010","Joey Votto","Reds","150","648","37","106","16","14.0 %","19.3 %",".276",".361",".324",".424",".600",".438","172","7.0","26","91","125","4314"
"2011","Miguel Cabrera","Tigers","161","688","30","111","2","15.7 %","12.9 %",".241",".365",".344",".448",".586",".437","177","6.5","28","108","89","1744"
"2017","Mike Trout","Angels","114","507","33","92","22","18.5 %","17.8 %",".323",".318",".306",".442",".629",".437","181","6.9","25","94","90","10155"
"1998","Albert Belle","White Sox","163","706","49","113","6","11.5 %","11.9 %",".327",".308",".328",".399",".655",".437","165","7.1","31","81","84","1000802"
"1999","Rafael Palmeiro","Rangers","158","674","47","96","2","14.4 %","10.2 %",".306",".297",".324",".420",".630",".436","156","5.4","34","97","69","1266"
"2006","Ryan Howard","Phillies","159","704","58","104","0","15.3 %","25.7 %",".346",".356",".313",".425",".659",".436","162","5.9","26","108","181","2154"
"1997","Edgar Martinez","Mariners","155","678","28","104","2","17.6 %","12.7 %",".223",".348",".330",".456",".554",".436","164","6.1","34","119","86","1086"
"2006","Manny Ramirez","Red Sox","130","558","35","79","0","17.9 %","18.3 %",".298",".341",".321",".439",".619",".436","163","2.9","34","100","102","210"
"2004","Jim Edmonds","Cardinals","153","612","42","102","8","16.5 %","24.5 %",".341",".344",".301",".418",".643",".436","168","8.3","34","101","150","1153"
"2005","Alex Rodriguez","Yankees","162","715","48","124","21","12.7 %","19.4 %",".289",".347",".321",".421",".610",".436","174","9.1","29","91","139","1274"
"1970","Jim Hickman","Cubs","149","613","32","102","0","15.2 %","16.2 %",".267",".337",".315",".419",".582",".436","154","5.1","33","93","99","1005777"
"2000","Moises Alou","Astros","126","517","30","82","3","10.1 %","8.7 %",".269",".338",".355",".416",".623",".436","154","3.2","33","52","45","261"
"1969","Hank Aaron","Braves","147","639","44","100","9","13.6 %","7.4 %",".307",".261",".300",".396",".607",".435","170","7.6","35","87","47","1000001"
"2000","Jeff Bagwell","Astros","159","719","47","152","9","14.9 %","16.1 %",".305",".313",".310",".424",".615",".435","153","5.9","32","107","116","547"
"1996","Brady Anderson","Orioles","149","687","50","117","21","11.1 %","15.4 %",".340",".286",".297",".396",".637",".434","155","6.9","32","76","106","364"
"1998","Barry Bonds","Giants","156","697","37","120","28","18.7 %","13.2 %",".306",".303",".303",".438",".609",".434","170","8.5","33","130","92","1109"
"1993","Frank Thomas","White Sox","153","676","41","106","4","16.6 %","8.0 %",".290",".285",".317",".426",".607",".434","170","6.3","25","112","54","255"
"2007","Chipper Jones","Braves","134","600","29","108","5","13.7 %","12.5 %",".267",".348",".337",".425",".604",".434","163","6.9","35","82","75","97"
"1999","Nomar Garciaparra","Red Sox","135","595","27","103","14","8.6 %","6.6 %",".246",".347",".357",".418",".603",".434","157","6.3","25","51","39","190"
"1999","Edgar Martinez","Mariners","142","608","24","86","7","16.0 %","16.3 %",".217",".380",".337",".447",".554",".433","161","5.3","36","97","99","1086"
